Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
32.13.10,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to a set of subheading 32.13.10 from any other subheading, provided that; (a) at least one of the component products, or all the packaging materials and containers for the set, is originating, and (b) the regional value content of the set is not less than 35 per cent under the transaction value method.",0
32.13.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to subheading 32.13.90 from any other heading,0
32.14.10-32.14.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.14.10 through 32.14.90 from any other subheading, including another subheading within that group",0
32.15,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.15 from any other heading,0
Chapter 33,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations",,0
33.01.12-33.01.13,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.01.12 through 33.01.13 from any other chapter; or A change to subheading 33.01.12 through 33.01.13 from any other subheading within Chapter 33, including another subheading within that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
33.01.19,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to essential oils of bergamot of subheading 33.01.19 from within that subheading or any other subheading; A change to essential oils of lime of subheading 33.01.19 from within that subheading or any other subheading; A change to any other good of subheading 33.01.19 from any other chapter; or A change to any other good of subheading 33.01.19 from essential oils of bergamot or of lime within that subheading or any other subheading within Chapter 33, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 50 per cent where the transaction value method is used, or (b) 40 per cent where the net cost method is used.",0
33.01.24-33.01.25,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.01.24 through 33.01.25 from any other subheading, including another subheading within that group",0
33.01.29,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to essential oils of geranium, jasmine, lavender, lavandin or vetiver of subheading 33.01.29 from within that subheading or any other subheading; A change to any other good of subheading 33.01.29 from any other chapter; or A change to any other good of subheading 33.01.29 from essential oils of geranium, jasmine, lavender, lavandin or vetiver within that subheading or any other subheading within Chapter 33, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 50 per cent where the transaction value method is used, or (b) 40 per cent where the net cost method is used.",0
33.01.30-33.01.90,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.01.30 through 33.01.90 from any other chapter; or A change to subheading 33.01.30 through 33.01.90 from any other subheading within Chapter 33, including another subheading within that group, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 50 per cent where the transaction value method is used, or (b) 40 per cent where the net cost method is used.",0
33.02,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to heading 33.02 from any other heading, except from heading 22.07 through 22.08",0
33.03,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to heading 33.03 from any other chapter; or A change to heading 33.03 from any other heading within Chapter 33, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
33.04.10-33.05.90,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.04.10 through 33.05.90 from any heading outside that group, except from heading 33.06 through 33.07; or A change to subheading 33.04.10 through 33.05.90 from any other subheading within that group or heading 33.06 through 33.07, whether or not there is also a change from any heading outside that group, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
33.06.10,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.06.10 from any other heading, except from heading 33.04 through 33.05 or 33.07; or A change to subheading 33.06.10 from heading 33.04 through 33.05 or 33.07, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
33.06.20,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.06.20 from any other subheading, except from heading 52.01through 52.03, Chapter 54 or heading 55.01 through 55.07",0
33.06.90,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.06.90 from any other heading, except from heading 33.04 through 33.05 or 33.07; or A change to subheading 33.06.90 from heading 33.04 through 33.05 or 33.07, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
33.07.10-33.07.90,"Essential Oils and Resinoids; Perfumery, Cosmetic or Toilet Preparations","A change to subheading 33.07.10 through 33.07.90 from any other heading, except from heading 33.04 through 33.06; or A change to subheading 33.07.10 through 33.07.90 from heading 33.04 through 33.06, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
Chapter 34,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster",,0
34.01.11-34.01.20,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.01.11 through 34.01.20 from any other heading; or A change to subheading 34.01.11 through 34.01.20 from any other subheading within heading 34.01, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 65 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
34.01.30,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.01.30 from any other subheading, except from subheading 34.02.90; or A change to subheading 34.01.30 from subheading 34.02.90, whether or not there is also a change from any other subheading, provided there is a regional value content of not less than: (a) 65 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
34.02.11-34.02.12,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.02.11 through 34.02.12 from any other heading, except to linear alkylbenzene sulfonic acid or linear alkylbenzene sulfonates of subheading 34.02.11 from linear alkylbenzene of heading 38.17; or A change to subheading 34.02.11 through 34.02.12 from any other subheading, including another subheading within heading 34.02, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 65 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
34.02.13,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster",A change to subheading 34.02.13 from any other subheading,0
34.02.19,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.02.19 from any other heading; or A change to subheading 34.02.19 from any other subheading within heading 34.02, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 65 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
34.02.20-34.02.90,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.02.20 through 34.02.90 from any subheading outside that group, except from subheading 34.01.30; or A change to subheading 34.02.20 through 34.02.90 from any other subheading within that group or subheading 34.01.30, whether or not there is also a change from any subheading outside that group, provided there is a regional value content of not less than: (a) 65 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
34.03.11-34.03.99,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.03.11 through 34.03.99 from any other subheading, including another subheading within that group",0
34.04.20,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster",A change to subheading 34.04.20 from any other subheading,0
