Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
32.06.50,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to subheading 32.06.50 from any other subheading,,,0
32.07-32.15,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.07 through 32.15 from any other chapter,,,0
Chapter 33,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations",,,,0
33.01.12-33.01.13,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations",A change to subheading 33.01.12 through 33.01.13 from any other chapter,No required change in tariff classification to subheading 33.01.12 through 33.01.13 provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.,,0
33.01.19,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations",A change to essential oils of bergamot or lime of subheading 33.01.19 from any other good of subheading 33.01.19 or any other subheading,A change to any other good of subheading 33.01.19 from any other chapter,"No required change in tariff classification to subheading 33.01.19, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",1
33.01.24-33.01.25,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations","A change to subheading 33.01.24 through 33.01.25 from any other subheading, including another subheading within that group",,,0
33.01.29,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations","A change to essential oils of geranium, jasmine, lavender, lavandin, or vetiver of subheading 33.01.29 from any other good of subheading 33.01.29 or any other subheading",A change to any other good of subheading 33.01.29 from any other chapter,"No required change in tariff classification to subheading 33.01.29, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",1
33.01.30-33.01.90,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations",A change to subheading 33.01.30 through 33.01.90 from any other chapter,"No required change in tariff classification to subheading 33.01.30 through 33.01.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
33.02,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations",– 33.03 A change to heading 33.02 through 33.03 from any other heading,,,0
33.04.10-33.05.90,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations","A change to subheading 33.04.10 through 33.05.90 from any other subheading, including another subheading within that group",,,0
33.06-33.07,"Essential Oils and Resinoids; Perfumery, Cosmetic, or Toilet Preparations",A change to heading 33.06 through 33.07 from any other heading,,,0
Chapter 34,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster",,,,0
34.01,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster",A change to heading 34.01 from any other heading,,,0
34.02.11-34.04.90,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to subheading 34.02.11 through 34.04.90 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 34.02.11 through 34.04.90, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
34.05-34.07,"Soap, Organic Surface-active Agents, Washing Preparations, Lubricating Preparations, Artificial Waxes, Prepared Waxes, Polishing or Scouring Preparations, Candles and Similar Articles, Modelling Pastes, “Dental Waxes” and Dental Preparations with a Basis of Plaster","A change to heading 34.05 through 34.07 from any other heading, including another heading within that group",,,0
Chapter 35,Albuminoidal Substances; Modified Starches; Glues; Enzymes,,,,0
35.01,Albuminoidal Substances; Modified Starches; Glues; Enzymes,A change to heading 35.01 from any other heading,"No required change in tariff classification to heading 35.01, provided there is a regional value content of not less than: (a) 65 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
35.02.11-35.02.19,Albuminoidal Substances; Modified Starches; Glues; Enzymes,A change to subheading 35.02.11 through 35.02.19 from any other heading,,,0
35.02.20-35.02.90,Albuminoidal Substances; Modified Starches; Glues; Enzymes,A change to subheading 35.02.20 through 35.02.90 from any other heading,"No required change in tariff classification to subheading 35.02.20 through 35.02.90, provided there is a regional value content of not less than: (a) 65 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
35.03.00-35.07.90,Albuminoidal Substances; Modified Starches; Glues; Enzymes,"A change to subheading 35.03.00 through 35.07.90 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 35.03.00 through 35.07.90, provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
Chapter 36,Explosives; Pyrotechnic Products; Matches; Pyrophoric Alloys; Certain Combustible Preparations,,,,0
36.01-36.06,Explosives; Pyrotechnic Products; Matches; Pyrophoric Alloys; Certain Combustible Preparations,"A change to heading 36.01 through 36.06 from any other heading, including another heading within that group",,,0
Chapter 37,Photographic or Cinematographic Goods,,,,0
37.01-37.03,Photographic or Cinematographic Goods,A change to heading 37.01 through 37.03 from any heading outside that group,,,0
37.04-37.07,Photographic or Cinematographic Goods,"A change to heading 37.04 through 37.07 from any other heading, including another heading within that group",,,0
Chapter 38,Miscellaneous Chemical Products,,,,0
38.01.10-38.07.00,Miscellaneous Chemical Products,"A change to subheading 38.01.10 through 38.07.00 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 38.01.10 through 38.07.00, provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
38.08.50-38.08.99,Miscellaneous Chemical Products,"A change to subheading 38.08.50 through 38.08.99 from any other subheading, including another subheading within that group, provided that not less than 50 percent by weight of the total active ingredient or ingredients is originating",,,0
38.09.10-38.21.00,Miscellaneous Chemical Products,"A change to subheading 38.09.10 through 38.21.00 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 38.09.10 through 38.21.00, provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
38.22,Miscellaneous Chemical Products,A change to heading 38.22 from any other heading,,,0
38.23.11-38.26.00,Miscellaneous Chemical Products,"A change to subheading 38.23.11 through 38.26.00 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 38.23.11 through 38.26.00, provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
Chapter 39,Plastics and Articles Thereof,,,,0
39.01-39.15,Plastics and Articles Thereof,"A change to heading 39.01 through 39.15 from any other heading, including another heading within that group, provided that the originating polymer content of heading 39.01 through 39.15 is not less than 50 percent by weight of the total polymer content",,,0
39.16-39.26,Plastics and Articles Thereof,"A change to heading 39.16 through 39.26 from any other heading, including another heading within that group",,,0
Chapter 40,Rubber and Articles Thereof,,,,0
40.01.10-40.02.99,Rubber and Articles Thereof,"A change to subheading 40.01.10 through 40.02.99 from any other subheading, including another subheading within that group",,,0
40.03-40.04,Rubber and Articles Thereof,"A change to heading 40.03 through 40.04 from any other heading, including another heading within that group",,,0
40.05-40.06,Rubber and Articles Thereof,"A change to heading 40.05 through 40.06 from any other heading, including another heading within that group, except from heading 40.01","A change to heading 40.05 through 40.06 from heading 40.01, whether or not there is also a change from any other heading, including another heading within that group, provided there is a regional value content of not less than: (a) 35 percent where the transaction value method is used; or (b) 25 percent where the net cost method is used.",,0
40.07-40.08,Rubber and Articles Thereof,A change to heading 40.07 through 40.08 from any heading outside that group,,,0
40.09.11,Rubber and Articles Thereof,"A change to subheading 40.09.11 from any other heading, except from heading 40.10 through 40.17",,,0
40.09.12,Rubber and Articles Thereof,"A change to tubes, pipes, or hoses of subheading 40.09.12, of a kind for use in a motor vehicle of tariff item 87.02.10.bb or 87.02.90.bb, subheading 87.03.21 through 87.03.90, 87.04.21 or 87.04.31, or heading 87.11, from any other heading, except from heading 40.10 through 40.17","A change to tubes, pipes or hoses of subheading 40.09.12, of a kind for use in a motor vehicle of tariff item 87.02.10.bb or 87.02.90.bb, subheading 87.03.21 through 87.03.90, 87.04.21 or 87.04.31, or heading 87.11, from subheading 40.09.11 through 40.17.00, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used, or (b) 50 percent where the net cost method is used","A change to tubes, pipes or hoses of subheading 40.09.12, other than those of a kind for use in a motor vehicle of tariff item 87.02.10.bb or 87.02.90.bb, subheading 87.03.21 through 87.03.90, 87.04.21 or 87.04.31, or heading 87.11, from any other heading, except from heading 40.10 through 40.17.",1
40.09.21,Rubber and Articles Thereof,"A change to subheading 40.09.21 from any other heading, except from heading 40.10 through 40.17",,,0
40.09.22,Rubber and Articles Thereof,"A change to tubes, pipes, or hoses of subheading 40.09.22, of a kind for use in a motor vehicle of tariff item 87.02.10.bb or 87.02.90.bb, subheading 87.03.21 through 87.03.90, 87.04.21 or 87.04.31, or heading 87.11, from any other heading, except from heading 40.10 through 40.17","A change to tubes, pipes, or hoses of subheading 40.09.22, of a kind for use in a motor vehicle of tariff item 87.02.10.bb or 87.02.90.bb, subheading 87.03.21 through 87.03.90, 87.04.21 or 87.04.31, or heading 87.11, from subheading 40.09.11 through 40.17.00, whether or not there is also a change from any other heading, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used. A change to tubes, pipes, or hoses of subheading 40.09.22, other than those of a kind for use in a motor vehicle of tariff item 87.02.10.bb or 87.02.90.bb, subheading 87.03.21 through 87.03.90, 87.04.21 or 87.04.31, or heading 87.11, from any other heading, except from heading 40.10 through 40.17.",,0
